municipality,event_type,year,detail
此花区,announcement,2017,IRの候補地に夢洲が選定される
此花区,development_start,2025,実際に、着工スタート
此花区,development_completion,2030,IRリゾート竣工予定
此花区,implementation,2030,IR実施予定
