区名,外国人男,外国人女,計,外国人を含む世帯数
北区,4291,4289,8580,6487
都島区,2487,2429,4916,3885
福島区,1286,1351,2637,2058
此花区,1544,1434,2978,2231
中央区,6234,6760,12994,9998
西区,3826,3881,7707,6218
港区,2651,2476,5127,3982
大正区,1460,1189,2649,2015
天王寺区,3127,3557,6684,4550
浪速区,6829,6641,13470,10841
西淀川区,3398,2989,6387,4826
淀川区,5420,5439,10859,8735
東淀川区,4733,4634,9367,7576
東成区,4168,4609,8777,6723
生野区,14321,15325,29646,21379
旭区,1572,1419,2991,2390
城東区,3294,3485,6779,5190
鶴見区,1285,1215,2500,1877
阿倍野区,2602,2723,5325,3966
住之江区,3332,3320,6652,4982
住吉区,3119,3334,6453,4899
東住吉区,3141,3280,6421,4869
平野区,5007,4856,9863,7169
西成区,8077,7369,15446,12155
合計,97204,98004,195208,149001
