区名,外国人男,外国人女,計,外国人を含む世帯数
北区,2680,2901,5581,4238
都島区,1603,1601,3204,2484
福島区,783,867,1650,1270
此花区,1011,992,2003,1549
中央区,3716,4829,8545,6810
西区,2146,2259,4405,3516
港区,1491,1545,3036,2296
大正区,934,757,1691,1270
天王寺区,2148,2492,4640,3225
浪速区,4251,4481,8732,6991
西淀川区,2298,2155,4453,3247
淀川区,3508,3782,7290,5899
東淀川区,3357,3337,6694,5366
東成区,3176,3598,6774,4901
生野区,12474,13782,26256,17965
旭区,1038,1075,2113,1615
城東区,2377,2583,4960,3764
鶴見区,973,1082,2055,1531
阿倍野区,1579,1589,3168,2361
住之江区,2020,2215,4235,3160
住吉区,2046,2188,4234,3178
東住吉区,1854,1913,3767,2839
平野区,3921,4157,8078,5702
西成区,5298,4910,10208,8111
合計,66682,71090,137772,103288
