nearest_station,latitude,longitude,distance_to_yumeshima_km
長堀橋,34.6744602,135.5063311,10.972118193723132
天満橋,34.6889916,135.517356,12.397478637631108
堺筋本町,34.6818289,135.5069759,11.24531095471539
大阪城北詰,34.6940361,135.5261871,13.348319164021673
野田(阪神),34.6942884,135.4748237,9.11933450463116
玉川(大阪),34.6893516,135.4798309,9.252932825915344
新福島,34.6951047,135.485644,10.021597547995386
伝法,34.689105,135.451703,7.0392553971162135
天王寺,34.6473102,135.513869,11.378251917089406
今宮,34.6542897,135.4928544,9.449411970125274
清水(大阪メトロ),34.7231465,135.5593999,17.439672208507652
西田辺,34.6216124,135.5151386,11.963246821994195
矢田(大阪),34.60593060000001,135.5330043,14.074140673793057
田辺,34.6285405,135.5252258,12.67259846170293
北加賀屋,34.6214001,135.4789988,8.846386698393927
出戸,34.6088749,135.5656953,16.80144547297317
中津(阪急),34.709857,135.4924379,11.412215560761226
千鳥橋,34.685327,135.457841,7.275096869897585
野田(ＪＲ),34.6890175,135.4749014,8.83574915240717
九条(阪神),34.6760962,135.4727646,8.075382789839466
西大橋,34.6754683,135.4933856,9.85324031654883
大正(大阪),34.7024854,135.4959506,11.245586289749276
今宮戎,34.654984,135.5015601,10.247795272986387
御幣島,34.712769,135.455535,9.080306129634268
淡路,34.7394009,135.5168092,15.177077686344331
緑橋,34.6809276,135.5445892,14.54255253549842
ＪＲ野江,34.7068599,135.5413311,15.16968008886333
天神ノ森,34.6296343,135.4980834,10.223831251635428
東部市場前,34.6381438,135.5375896,13.622063330721511
玉出,34.6236685,135.4902849,9.725065442082236
加島,34.7277872,135.4535414,10.283300077327551
平林(大阪),34.6106395,135.458635,7.794505202758869
淀屋橋,34.692552,135.5014129,11.188741588703133
淀川,34.696265,135.4651128,8.499216285554164
大阪港,34.6539844,135.4343734,4.103606371253391
難波(南海),34.6629331,135.5022953,10.383365050920789
関目,34.7126865,135.5469429,15.9051522195184
住吉東,34.612934,135.4974327,10.767201457545896
河堀口,34.6411489,135.5240721,12.357419869452714
東淀川,34.7395007,135.5041997,14.32041944209572
横堤,34.703467,135.572192,17.66117936162132
中ふ頭,34.6340432,135.4174504,3.2173542919725264
