date,price_per_sqm,group
2014-01-01,262381.72097018646,此花区
2014-04-01,260396.22369176493,此花区
2014-07-01,259554.78013161846,此花区
2014-10-01,259631.5650757717,此花区
2015-01-01,259171.24605060133,此花区
2015-04-01,266466.79705114884,此花区
2015-07-01,276953.9176947406,此花区
2015-10-01,281943.0315944462,此花区
2016-01-01,283925.93434494984,此花区
2016-04-01,289942.5246297265,此花区
2016-07-01,296034.7547534346,此花区
2016-10-01,304622.99259194767,此花区
2017-01-01,320106.19762164954,此花区
2017-04-01,330779.567687111,此花区
2017-07-01,333769.54880925344,此花区
2017-10-01,338494.3054314767,此花区
2018-01-01,339247.6416192851,此花区
2018-04-01,337959.17984077526,此花区
2018-07-01,338615.97319565027,此花区
2018-10-01,337739.8859330747,此花区
2019-01-01,336781.915516751,此花区
2019-04-01,336493.4379370651,此花区
2019-07-01,337322.15071350813,此花区
2019-10-01,339268.84674762754,此花区
2020-01-01,340670.94361565437,此花区
2020-04-01,343446.28999318805,此花区
2020-07-01,348993.4583707358,此花区
2020-10-01,353448.65785006736,此花区
2021-01-01,358761.6674267058,此花区
2021-04-01,367998.51410118176,此花区
2021-07-01,374743.4728310458,此花区
2021-10-01,382064.7578482703,此花区
2022-01-01,393083.81291949376,此花区
2022-04-01,401886.61646226555,此花区
2022-07-01,408256.16292392917,此花区
2022-10-01,413366.4989422898,此花区
2023-01-01,409265.3128499903,此花区
2023-04-01,396669.8560601397,此花区
2023-07-01,389991.0251949461,此花区
2023-10-01,391341.0572472657,此花区
2024-01-01,397708.17878933833,此花区
2024-04-01,412436.16042029636,此花区
2024-07-01,429585.3010573176,此花区
2024-10-01,438512.5404137866,此花区
2025-01-01,447409.3704906332,此花区
2025-04-01,458101.83347663307,此花区
2025-07-01,468671.8213407019,此花区
2025-10-01,479979.0215124488,此花区
2014-01-01,319265.2882158118,大阪市
2014-04-01,327080.2958974279,大阪市
2014-07-01,334669.8389346919,大阪市
2014-10-01,342165.3523597459,大阪市
2015-01-01,349668.0057703864,大阪市
2015-04-01,355639.10354439705,大阪市
2015-07-01,364147.0284942628,大阪市
2015-10-01,375102.72289389,大阪市
2016-01-01,386658.111713285,大阪市
2016-04-01,399855.8357882083,大阪市
2016-07-01,411924.08693658374,大阪市
2016-10-01,418932.5758465396,大阪市
2017-01-01,423885.68003993935,大阪市
2017-04-01,427275.6435926165,大阪市
2017-07-01,427868.1494265686,大阪市
2017-10-01,428876.53310467553,大阪市
2018-01-01,431205.90057366685,大阪市
2018-04-01,432332.0729255389,大阪市
2018-07-01,433967.7942610694,大阪市
2018-10-01,438029.3683987527,大阪市
2019-01-01,442288.67732623755,大阪市
2019-04-01,448810.79339569126,大阪市
2019-07-01,459034.50138224,大阪市
2019-10-01,468053.53269994375,大阪市
2020-01-01,474830.343928385,大阪市
2020-04-01,482051.78394915134,大阪市
2020-07-01,487692.04655065614,大阪市
2020-10-01,493633.24110544275,大阪市
2021-01-01,505336.72508384334,大阪市
2021-04-01,519545.57423648465,大阪市
2021-07-01,534972.7057072814,大阪市
2021-10-01,553560.234761988,大阪市
2022-01-01,571727.1994968622,大阪市
2022-04-01,587294.1762321382,大阪市
2022-07-01,601526.3917195102,大阪市
2022-10-01,613713.9086107097,大阪市
2023-01-01,622372.5159107527,大阪市
2023-04-01,630616.6746248454,大阪市
2023-07-01,639945.0864175451,大阪市
2023-10-01,649793.9150185897,大阪市
2024-01-01,660222.6017917931,大阪市
2024-04-01,672914.4912152899,大阪市
2024-07-01,686321.4061607308,大阪市
2024-10-01,700444.0553450101,大阪市
2025-01-01,716665.137021772,大阪市
2025-04-01,732416.349601546,大阪市
2025-07-01,748181.890880966,大阪市
2025-10-01,763969.8836260907,大阪市
